us,red,ir,ratio,adcAvg,ratioSlope,AI
236811566,220,325,0.6769,1251,-0.0018,55
236865568,225,313,0.7188,1232,-0.0016,50
236919613,218,318,0.6855,1222,-0.0017,50
236976383,225,335,0.6716,1249,-0.0022,50
237031568,231,318,0.7264,1236,-0.0019,50
237085568,224,317,0.7066,1224,-0.0013,50
237140566,218,332,0.6566,1243,-0.0008,50
237194566,224,328,0.6829,1253,-0.0004,50
237248566,226,312,0.7244,1236,-0.0009,50
237305566,222,321,0.6916,1226,-0.0009,50
237359594,225,333,0.6757,1252,-0.0004,50
237414568,226,318,0.7107,1240,-0.0005,50
237468568,224,316,0.7089,1223,-0.0007,50
237522568,220,328,0.6707,1233,-0.0005,50
237578369,223,329,0.6778,1250,-0.0005,55
237633303,220,309,0.712,1227,-0.0005,50
237687574,222,321,0.6916,1225,-0.0005,50
237742574,222,333,0.6667,1247,-0.0006,45
237796566,224,320,0.7,1244,0.0006,45
237850574,222,313,0.7093,1225,0.0008,45
237906568,117,330,0.3545,1238,-0.0014,45
237960568,223,328,0.6799,1247,-0.0017,50
238015568,226,315,0.7175,1235,-0.0014,50
238069568,223,319,0.6991,1228,-0.0011,50
238123566,223,329,0.6778,1237,-0.0017,50
238180368,223,324,0.6883,1243,-0.0019,50
238234566,224,318,0.7044,1226,-0.0026,45
238288566,221,326,0.6779,1230,-0.0026,45
238342566,218,330,0.6606,1248,-0.0018,45
238397331,224,318,0.7044,1238,-0.002,45
238451576,218,314,0.6943,1221,-0.0021,45
238509576,224,339,0.6608,1248,-0.0018,45
238564568,226,312,0.7244,1234,-0.0019,45
238619566,221,316,0.6994,1222,-0.002,40
238673566,223,332,0.6717,1240,-0.002,40
238728566,221,323,0.6842,1250,-0.0019,45
238784368,221,303,0.7294,1223,-0.0019,45
238839566,223,332,0.6717,1241,-0.0019,45
238893568,222,328,0.6768,1251,-0.002,45
238948567,220,306,0.719,1225,-0.0019,45
239002568,222,318,0.6981,1223,0.0004,40
239056568,218,334,0.6527,1242,0.0002,40
239113574,225,321,0.7009,1243,0,40
239168574,217,314,0.6911,1223,-0.0001,40
239222566,220,327,0.6728,1232,-0.0002,40
239276566,219,324,0.6759,1247,-0.0003,40
239331566,221,310,0.7129,1231,-0.0005,40
239387369,223,318,0.7013,1222,-0.0008,40
239442568,223,331,0.6737,1246,-0.0009,40
239496568,224,317,0.7066,1241,-0.0009,40
239550568,219,308,0.711,1221,-0.0011,45
239605568,219,321,0.6822,1229,-0.0012,45
239659595,220,321,0.6854,1237,-0.001,50
239715566,218,305,0.7148,1226,-0.0011,50
239769566,221,317,0.6972,1220,-0.0011,45
239824574,220,328,0.6707,1245,-0.0011,45
239878576,217,321,0.676,1248,-0.0011,45
239933576,221,308,0.7175,1227,-0.001,45
239989369,216,326,0.6626,1240,-0.0011,45
240044568,220,329,0.6687,1263,-0.0014,50
240098566,220,309,0.712,1238,-0.0013,50
240152566,227,315,0.7206,1226,-0.0007,50
240206566,216,324,0.6667,1238,-0.001,55
240260566,206,318,0.6478,1255,-0.0015,55
240316566,227,303,0.7492,1224,-0.0006,50
240370566,219,317,0.6909,1224,-0.0003,50
240424566,59,163,0.362,1241,0.0047,55
